IdTendencia,Produto,DescricaoTendencia,DataIdentificacao
1,ProdutoA,Crescente,2024-01-18
2,ProdutoB,Estável,2024-01-19
3,ProdutoC,Decrescente,2024-01-20
4,ProdutoD,Crescente,2024-01-21
5,ProdutoE,Estável,2024-01-22
6,ProdutoF,Crescente,2024-01-23
7,ProdutoG,Estável,2024-01-24
8,ProdutoH,Decrescente,2024-01-25
9,ProdutoI,Crescente,2024-01-26
10,ProdutoJ,Estável,2024-01-27
11,ProdutoK,Crescente,2024-01-28
12,ProdutoL,Estável,2024-01-29
13,ProdutoM,Decrescente,2024-01-30
14,ProdutoN,Crescente,2024-01-31
15,ProdutoO,Estável,2024-02-01
16,ProdutoP,Crescente,2024-02-02
17,ProdutoQ,Estável,2024-02-03
18,ProdutoR,Decrescente,2024-02-04
19,ProdutoS,Crescente,2024-02-05
20,ProdutoT,Estável,2024-02-06
21,ProdutoU,Crescente,2024-02-07
22,ProdutoV,Estável,2024-02-08
23,ProdutoW,Decrescente,2024-02-09
24,ProdutoX,Crescente,2024-02-10
25,ProdutoY,Estável,2024-02-11
26,ProdutoZ,Crescente,2024-02-12
